Ground Truth

Frame n (row, column) Bounce on Table
Frame 16 (367, 844) Hit by Player
Frame 19 (431, 696) Bounce on Table
Frame 35 (398, 327) Bounce on Table
Frame 41 (334, 227) Hit by Player
Frame 56 (390, 669) Bounce on Table
Frame 64 (315, 774) Hit by Player
Frame 78 (404, 418) Bounce on Table
Frame 89 (346, 272) Hit by Player
Frame 102 (408, 598) Bounce on Table
Frame 111 (349, 700) Hit by Player
Frame 129 (457, 211) Bounce on Table
Frame 139 (365, 69) Hit by Player
Frame 155 (401, 614) Bounce on Table
Frame 164 (307, 725) Hit by Player
Frame 184 (423, 145) Bounce on Table
Frame 220 (378, 685) Bounce on Table
Frame 229 (261, 799) Hit by Player
Frame 253 (439, 193) Bounce on Table
Frame 261 (287, 105) Hit by Player
Frame 278 (419, 731) Bounce on Table
Frame 286 (301, 853) Hit by Player
Frame 400 (311, 133) Hit by Player

My Results
Frame: 24 (766, 367) Hit By Player
Frame: 25 (559, 342) Bounce on the Table
Frame: 25 (559, 342) Hit By Player
Frame: 26 (770, 366) Hit By Player
Frame: 26 (534, 335) Bounce on the Table
Frame: 26 (534, 335) Hit By Player
Frame: 27 (768, 366) Hit By Player
Frame: 28 (709, 368) Hit By Player
Frame: 36 (322, 392) Bounce on the Table
Frame: 38 (310, 366) Hit By Player
Frame: 57 (651, 365) Bounce on the Table
Frame: 69 (670, 285) Hit By Player
Frame: 81 (387, 383) Bounce on the Table
Frame: 93 (313, 324) Hit By Player
Frame: 104 (611, 387) Bounce on the Table
Frame: 121 (634, 345) Hit By Player
Frame: 131 (197, 437) Bounce on the Table
Frame: 133 (183, 405) Hit By Player
Frame: 156 (616, 396) Bounce on the Table
Frame: 158 (630, 364) Hit By Player
Frame: 184 (202, 353) Bounce on the Table
Frame: 206 (235, 227) Hit By Player
Frame: 221 (660, 364) Bounce on the Table
Frame: 221 (660, 364) Hit By Player
Frame: 255 (197, 423) Bounce on the Table
Frame: 255 (197, 423) Hit By Player
Frame: 280 (747, 393) Bounce on the Table
Frame: 283 (776, 336) Hit By Player
Frame: 321 (341, 350) Bounce on the Table
Frame: 410 (224, 342) Hit By Player
